Industry,Contractual cash earnings,Scheduled cash earnings,Annual special cash earnings
Mining and quarrying of stone and gravel,397.7,366.7,1377.4
Construction,381.2,349.4,1095.1
Manufacturing,340,306,1055.5
"Electricity,Gas,Heat supply and Water",463.5,410.2,1429.4
Information and communications,409.9,381.2,1134.8
Transport and postal activities,347.9,294.3,623.5
Wholesale and retail trade,340.6,319.6,862.7
Finance and Insurance,421.7,393.4,1531.4
Real estate and goods rental and leasing,364.2,340.8,1270.7
"Scientific research,professional and technical services",427.6,396.6,1363.6
"Accommodations",284.6,259.5,336.9
Living-related and personal services and amusement services,296.1,278.7,445.9
"Education,learning support",390.2,377.2,1225.9
"Medical,health care and welfare",319.7,298,717.2
Compound services,320.1,302,997.1
"Services,n.e.c.",310.6,285.7,618.3
